"","PD","SR","cellid"
"9376",1593.16316296245,15,"9376"
"9377",214.4669065753,1,"9377"
"9378",214.4669065753,1,"9378"
"9379",428.933814149,2,"9379"
"9380",214.4669065753,1,"9380"
"9381",214.4669065753,1,"9381"
"9382",214.4669065753,1,"9382"
"9383",214.4669065753,1,"9383"
"9384",214.4669065753,1,"9384"
"9385",214.4669065753,1,"9385"
"9386",214.4669065753,1,"9386"
"9387",214.4669065753,1,"9387"
"9388",214.4669065753,1,"9388"
"9389",214.4669065753,1,"9389"
"9390",214.4669065753,1,"9390"
"9391",214.4669065753,1,"9391"
"9392",214.4669065753,1,"9392"
"9393",214.4669065753,1,"9393"
"9394",214.4669065753,1,"9394"
"9395",214.4669065753,1,"9395"
"9396",214.4669065753,1,"9396"
"9398",2086.64021936748,20,"9398"
"9408",2442.21651294448,22,"9408"
"9409",588.5966198841,4,"9409"
"9410",335.2510983413,2,"9410"
"9411",214.4669065753,1,"9411"
"9412",532.8208536343,3,"9412"
"9413",214.4669065753,1,"9413"
"9414",214.4669065753,1,"9414"
"9415",214.4669065753,1,"9415"
"9450",439.13813983488,3,"9450"
"9451",214.4669065753,1,"9451"
"9452",214.4669065753,1,"9452"
"9453",214.4669065753,1,"9453"
"9454",214.4669065753,1,"9454"
"9455",214.4669065753,1,"9455"
"9456",214.4669065753,1,"9456"
"9457",214.4669065753,1,"9457"
"9458",214.4669065753,1,"9458"
"9459",323.3194466453,2,"9459"
"9460",214.4669065753,1,"9460"
"9478",680.23527981717,4,"9478"
"9481",272.704293586,3,"9481"
"9482",278.546344437,4,"9482"
"9483",214.466907579,1,"9483"
"9484",1109.814365334,7,"9484"
"9485",1421.8044633386,13,"9485"
"9502",1835.12189403482,22,"9502"
"9506",3128.79738957303,38,"9506"
"9507",217.2961496253,2,"9507"
"9508",214.4669065753,1,"9508"
"9509",214.4669065753,1,"9509"
"9510",428.933814149,2,"9510"
"9511",214.4669065753,1,"9511"
"9512",214.4669065753,1,"9512"
