"","PD","SR","cellid"
"5857",281.82917092,1,"5857"
"5858",281.82917092,1,"5858"
"5859",281.82917092,1,"5859"
"5860",281.82917092,1,"5860"
"5861",281.82917092,1,"5861"
"5862",281.82917092,1,"5862"
"5863",281.82917092,1,"5863"
"5864",281.82917092,1,"5864"
"5865",281.82917092,1,"5865"
"5866",281.82917092,1,"5866"
"5867",281.82917092,1,"5867"
"5868",281.82917092,1,"5868"
"5869",281.82917092,1,"5869"
"5870",281.82917092,1,"5870"
"5871",281.82917092,1,"5871"
"5872",563.65834185,2,"5872"
"5873",563.65834185,2,"5873"
"5874",563.65834185,2,"5874"
"5875",563.65834185,2,"5875"
"5876",281.82917092,1,"5876"
"5877",281.82917092,1,"5877"
"5878",281.82917092,1,"5878"
"5913",281.82917092,1,"5913"
"5914",281.82917092,1,"5914"
"5915",281.82917092,1,"5915"
"5916",281.82917092,1,"5916"
"5917",281.82917092,1,"5917"
"5918",281.82917092,1,"5918"
"5919",281.82917092,1,"5919"
"5920",281.82917092,1,"5920"
"5921",281.82917092,1,"5921"
"5922",281.82917092,1,"5922"
"5923",281.82917092,1,"5923"
"5924",281.82917092,1,"5924"
"5925",281.82917092,1,"5925"
"5926",281.82917092,1,"5926"
"5927",281.82917092,1,"5927"
"5928",281.82917092,1,"5928"
"5929",281.82917092,1,"5929"
"5930",281.82917092,1,"5930"
"5931",281.82917092,1,"5931"
"5932",281.82917092,1,"5932"
"5933",281.82917092,1,"5933"
"5934",281.82917092,1,"5934"
"5935",281.82917092,1,"5935"
"5936",281.82917092,1,"5936"
"5937",281.82917092,1,"5937"
"5938",281.82917092,1,"5938"
"5939",281.82917092,1,"5939"
"5940",281.82917092,1,"5940"
"5941",281.82917092,1,"5941"
"5942",281.82917092,1,"5942"
"5943",1337.47900298,7,"5943"
"5944",580.560261966,4,"5944"
"5945",348.401983126,2,"5945"
"5946",281.82917092,1,"5946"
"5947",281.82917092,1,"5947"
"5948",281.82917092,1,"5948"
"5949",281.82917092,1,"5949"
"5950",281.82917092,1,"5950"
"5951",281.82917092,1,"5951"
"5952",281.82917092,1,"5952"
"5953",281.82917092,1,"5953"
"5954",281.82917092,1,"5954"
"5955",281.82917092,1,"5955"
"5956",281.82917092,1,"5956"
"5983",281.82917092,1,"5983"
"5984",281.82917092,1,"5984"
"5985",281.82917092,1,"5985"
"5986",281.82917092,1,"5986"
"5987",281.82917092,1,"5987"
"5988",281.82917092,1,"5988"
"5989",281.82917092,1,"5989"
"5990",281.82917092,1,"5990"
"5991",281.82917092,1,"5991"
"5992",281.82917092,1,"5992"
"5993",281.82917092,1,"5993"
"5994",281.82917092,1,"5994"
"5995",281.82917092,1,"5995"
"5996",281.82917092,1,"5996"
"5997",281.82917092,1,"5997"
"5998",281.82917092,1,"5998"
"5999",281.82917092,1,"5999"
"6000",281.82917092,1,"6000"
"6001",281.82917092,1,"6001"
"6002",281.82917092,1,"6002"
"6003",563.65834185,2,"6003"
"6004",563.65834185,2,"6004"
"6005",630.231154056,3,"6005"
"6006",630.231154056,3,"6006"
"6007",630.231154056,3,"6007"
"6008",563.65834185,2,"6008"
"6009",281.82917092,1,"6009"
"6044",489.60360155,2,"6044"
"6045",281.82917092,1,"6045"
"6046",281.82917092,1,"6046"
"6047",281.82917092,1,"6047"
"6048",281.82917092,1,"6048"
"6049",281.82917092,1,"6049"
"6050",281.82917092,1,"6050"
"6051",281.82917092,1,"6051"
"6052",281.82917092,1,"6052"
"6053",281.82917092,1,"6053"
"6054",281.82917092,1,"6054"
"6055",281.82917092,1,"6055"
"6056",281.82917092,1,"6056"
"6057",281.82917092,1,"6057"
"6058",281.82917092,1,"6058"
"6059",281.82917092,1,"6059"
"6060",281.82917092,1,"6060"
"6061",281.82917092,1,"6061"
"6062",281.82917092,1,"6062"
"6063",281.82917092,1,"6063"
"6064",281.82917092,1,"6064"
"6065",281.82917092,1,"6065"
"6066",281.82917092,1,"6066"
"6067",281.82917092,1,"6067"
